0, 0
0, 2
3, 2
3, 5
6, 5
6, 8
11, 8
11, 9
15, 9
15, 11
19, 11
19, 12
20, 12
20, 13
23, 13
23, 17
24, 17
24, 19
27, 19
27, 23
30, 23
30, 25
33, 25
33, 26
35, 26
35, 29
40, 29
40, 31
42, 31
42, 32
43, 32
43, 33
47, 33
47, 36
49, 36
49, 39
52, 39
52, 41
53, 41
53, 44
56, 44
56, 46
60, 46
60, 47
65, 47
65, 48
68, 48
68, 50
70, 50
70, 53
73, 53
73, 54
77, 54
77, 56
82, 56
82, 60
84, 60
84, 58
87, 58
87, 57
90, 57
90, 55
94, 55
94, 52
95, 52
95, 48
100, 48
100, 47
102, 47
102, 43
105, 43
105, 40
106, 40
106, 37
107, 37
107, 33
109, 33
109, 29
113, 29
113, 25
118, 25
118, 24
121, 24
121, 20
126, 20
126, 17
127, 17
127, 16
129, 16
129, 14
133, 14
133, 11
137, 11
137, 10
139, 10
139, 6
140, 6
140, 3
145, 3
145, 0
